[waypoint_traj-11] [INFO] [1757973351.051563600] [waypoint_traj_node]: Received path point: x=-3.37, y=22.33, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.052145381] [waypoint_traj_node]: Received path point: x=-2.91, y=21.90, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.052626072] [waypoint_traj_node]: Received path point: x=-2.70, y=21.90, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.053198776] [waypoint_traj_node]: Received path point: x=-1.51, y=22.08, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.053677534] [waypoint_traj_node]: Received path point: x=-1.29, y=22.94, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.054059841] [waypoint_traj_node]: Received path point: x=-1.16, y=24.88, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.054591618] [waypoint_traj_node]: Received path point: x=-0.97, y=25.58, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.055021184] [waypoint_traj_node]: Received path point: x=-0.36, y=26.51, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.055490945] [waypoint_traj_node]: Received path point: x=0.56, y=27.11, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.055919659] [waypoint_traj_node]: Received path point: x=2.46, y=27.20, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.056438842] [waypoint_traj_node]: Received path point: x=2.96, y=25.94, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.056837900] [waypoint_traj_node]: Received path point: x=2.88, y=25.00, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.057239574] [waypoint_traj_node]: Received path point: x=1.72, y=22.66, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.057786109] [waypoint_traj_node]: Received path point: x=2.00, y=21.56, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.058194675] [waypoint_traj_node]: Received path point: x=3.70, y=19.08, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.058769252] [waypoint_traj_node]: Received path point: x=4.31, y=18.74, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.059322740] [waypoint_traj_node]: Received path point: x=5.51, y=18.85, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.059845100] [waypoint_traj_node]: Received path point: x=6.03, y=18.97, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.060416201] [waypoint_traj_node]: Received path point: x=5.90, y=22.00, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.060899938] [waypoint_traj_node]: Received path point: x=7.03, y=23.59, yaw=0.02
