x,y,z
1.0,1.0,0.08451505255262699
2.0,1.0,0.13658261303028763
3.0,1.0,0.1880917085295632
4.0,1.0,0.22072766470286542
5.0,1.0,0.22072766470286542
6.0,1.0,0.1880917085295632
7.0,1.0,0.13658261303028763
8.0,1.0,0.08451505255262699
1.0,2.0,0.13658261303028763
2.0,2.0,0.22072766470286542
3.0,2.0,0.3039701954193537
4.0,2.0,0.35671232878211656
5.0,2.0,0.35671232878211656
6.0,2.0,0.3039701954193537
7.0,2.0,0.22072766470286542
8.0,2.0,0.13658261303028763
1.0,3.0,0.1880917085295632
2.0,3.0,0.3039701954193537
3.0,3.0,0.4186057956426186
4.0,3.0,0.49123845184678905
5.0,3.0,0.49123845184678905
6.0,3.0,0.4186057956426186
7.0,3.0,0.3039701954193537
8.0,3.0,0.1880917085295632
1.0,4.0,0.22072766470286542
2.0,4.0,0.35671232878211656
3.0,4.0,0.49123845184678905
4.0,4.0,0.576473663491394
5.0,4.0,0.576473663491394
6.0,4.0,0.49123845184678905
7.0,4.0,0.35671232878211656
8.0,4.0,0.22072766470286542
1.0,5.0,0.22072766470286542
2.0,5.0,0.35671232878211656
3.0,5.0,0.49123845184678905
4.0,5.0,0.576473663491394
5.0,5.0,0.576473663491394
6.0,5.0,0.49123845184678905
7.0,5.0,0.35671232878211656
8.0,5.0,0.22072766470286542
1.0,6.0,0.1880917085295632
2.0,6.0,0.3039701954193537
3.0,6.0,0.4186057956426186
4.0,6.0,0.49123845184678905
5.0,6.0,0.49123845184678905
6.0,6.0,0.4186057956426186
7.0,6.0,0.3039701954193537
8.0,6.0,0.1880917085295632
1.0,7.0,0.13658261303028763
2.0,7.0,0.22072766470286542
3.0,7.0,0.3039701954193537
4.0,7.0,0.35671232878211656
5.0,7.0,0.35671232878211656
6.0,7.0,0.3039701954193537
7.0,7.0,0.22072766470286542
8.0,7.0,0.13658261303028763
1.0,8.0,0.08451505255262699
2.0,8.0,0.13658261303028763
3.0,8.0,0.1880917085295632
4.0,8.0,0.22072766470286542
5.0,8.0,0.22072766470286542
6.0,8.0,0.1880917085295632
7.0,8.0,0.13658261303028763
8.0,8.0,0.08451505255262699
